scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
1,1,GA,23.97761349985376,3.547310347009231,6,6.0,0.08705672305510433,0.11457663502100746,0.23640114543832183,0.005875979470092313,2.8075,0.1522124,69,31,5,0.9120751363563869,0.7162092539217877,18,15,0,0,0,16,9,11
1,1,Greedy,1.5430861248169094,4.554585491444291,3,3.0,0.08087667271107091,0.11212901983868478,0.22640114543832185,0.005855046914442908,3.782,0.18708080000000002,61,39,7,0.9028790992700443,0.6949080492938947,11,13,0,11,12,3,4,7
1,1,CEGA,24.956044958205894,5.068865902365763,4,4.0,0.07817020261629132,0.10905900699827122,0.23040114543832182,0.006127651023657636,4.297,0.1591008,67,33,8,0.8918676014602842,0.7310012993488543,8,11,10,12,9,5,3,9
1,1,Random,0.0006065419875085354,7.171720228807879,63,63.0,0.22641729943930933,0.628127548382574,0.7361408476797154,0.027168518288078793,4.4125,0.0423684,91,9,8,0.6222070670972546,0.5515081715464778,11,12,14,11,10,10,10,13
2,2,GA,23.943582583218813,3.5382221284456024,7,7.0,0.08839923655033703,0.11920441329293105,0.21964384996906847,0.005754517284456021,2.8255,0.13727040000000001,73,27,5,0.8996567321410588,0.6910404460700179,0,0,0,13,17,9,18,16
2,2,Greedy,1.4295689170248806,4.506593991308274,5,5.0,0.08444910802194505,0.10906386923016342,0.19731760533770812,0.005499751913082742,3.728,0.2286188,52,48,7,0.900367196940825,0.619517417113876,8,3,0,6,14,2,13,6
2,2,CEGA,25.676777709042653,5.023506484232403,7,7.0,0.07949472056202914,0.11715199646452215,0.19931760533770812,0.005678900842324023,4.303,0.15261639999999999,69,31,8,0.8868733573799645,0.6469641395074567,10,4,3,15,13,1,13,10
2,2,Random,0.00214358395896852,6.899193382773248,66,66.0,0.21535860546018945,0.5419448985273729,0.8638402314388259,0.024413941827732474,4.4155,0.0422992,92,8,8,0.5956802143346884,0.5230626336836415,12,10,9,15,9,11,14,12
3,3,GA,19.473187708994374,2.4149182842109598,19,19.0,0.08817737442840601,0.13434372597627964,0.19329272068030165,0.004614734842109596,1.6875,0.26594480000000004,43,57,3,0.9176451827858901,0.6479335617064415,0,15,0,0,14,14,0,0
3,3,Greedy,1.6747989170253277,4.337840009179844,1,1.0,0.0681671482960414,0.10706355754126735,0.1622051473469683,0.003980296091798445,3.8765,0.0633104,86,14,7,0.8748002210365644,0.651289961369994,13,5,15,10,19,0,7,17
3,3,CEGA,25.66448187502101,4.932229823842395,1,1.0,0.06815511965448913,0.1111091936463578,0.13729272068030166,0.00482671423842395,4.2895,0.1600584,66,34,8,0.9002359297615016,0.623906214886648,6,4,11,9,13,1,7,15
3,3,Random,0.0005914170760661364,6.647410909780207,53,53.0,0.1868916491847722,0.5101019396443013,0.9046026916450884,0.022022233097802064,4.402,0.04318760000000001,92,8,8,0.561251770262672,0.4869993349549017,13,12,12,8,10,13,11,13
4,4,GA,21.04516016691923,2.4321678464415326,10,10.0,0.09061665194460486,0.1213524584905105,0.17796081769105168,0.0046345744644153255,1.7055,0.2632104,45,55,3,0.9420919246195565,0.6929159684936119,0,0,0,0,15,0,12,18
4,4,Greedy,1.5420610830187798,4.787784302129249,0,0.0,0.06224257395002015,0.09346587364280999,0.11429980435771836,0.0035015670212924883,4.24,0.19762760000000001,58,42,8,0.8997848475848429,0.7403948141703188,8,4,4,5,10,10,9,8
4,4,CEGA,27.18952125008218,4.893233399358328,0,0.0,0.06592623242814012,0.10116234830469766,0.11662748435771834,0.004254765993583284,4.4215,0.0462568,91,9,8,0.9190532423773038,0.7406977724622018,11,9,8,13,13,14,11,12
4,4,Random,0.001054250169545412,7.077800000546039,65,65.0,0.20732325464217094,0.5253660133474337,0.6300703411415147,0.02607782000546038,4.408,0.06201800000000001,87,13,8,0.6371692503657675,0.5470405657629491,13,7,13,11,7,11,11,14
