scenario,seed,algo,user,dst,is_cloud,deadline,delay,excess,slack,L_u,O_u_bits,p_u,gateway,assigned_server,assigned_cores_len
1,1,GA,17,7,0,0.10841842789234926,0.07527058748000047,0.0,0.03314784041234879,1500000000.0,1638400.0,0.11867936793538086,2,7,1
1,1,GA,18,8,1,0.11329968492723921,0.04982733375219393,0.0,0.0634723511750453,1000000000.0,819200.0,0.16746893954347775,6,-1,0
1,1,GA,19,0,0,0.10911857926087498,0.06467821034640651,0.0,0.04444036891446847,1000000000.0,1228800.0,0.15705645979524985,6,0,1
1,1,GA,20,8,1,0.11173036653651063,0.11471624778039782,0.002985881243887198,-0.002985881243887198,2000000000.0,1228800.0,0.11585550339867128,4,-1,0
1,1,GA,21,8,1,0.11679369207217885,0.07866397680458813,0.0,0.03812971526759072,2000000000.0,819200.0,0.19520292687261848,3,-1,0
1,1,GA,22,1,0,0.1145294722062474,0.0957560156747129,0.0,0.018773456531534505,2000000000.0,1638400.0,0.11543536325474044,7,1,1
1,1,GA,23,0,0,0.10730014527017118,0.0929130533919417,0.0,0.01438709187822948,1500000000.0,819200.0,0.15103032497386853,2,0,1
1,1,GA,24,5,0,0.10896792618688969,0.10856442672436936,0.0,0.0004034994625203292,2000000000.0,1638400.0,0.11440028750192577,5,5,1
1,1,GA,25,5,0,0.10735399139380013,0.08859943660441358,0.0,0.01875455478938655,1000000000.0,1228800.0,0.1717371726106235,1,5,1
1,1,GA,26,5,0,0.10219469328013393,0.10137922125548174,0.0,0.0008154720246521946,1500000000.0,819200.0,0.12763130140951529,1,5,1
1,1,GA,27,8,1,0.10406483088174794,0.09718022549326036,0.0,0.006884605388487577,2000000000.0,1638400.0,0.11341339751217833,6,-1,0
1,1,GA,28,8,1,0.10567612977888262,0.1237726817909535,0.018096552012070888,-0.018096552012070888,1000000000.0,1228800.0,0.10459871806705157,6,-1,0
1,1,GA,29,8,1,0.10628267791204604,0.05641939799571443,0.0,0.04986327991633161,1000000000.0,1638400.0,0.11748355378976237,6,-1,0
1,1,GA,30,7,0,0.10626095717639876,0.23640114543832183,0.13014018826192308,-0.13014018826192308,1000000000.0,1638400.0,0.11917987167235665,7,7,1
1,1,GA,31,1,0,0.11153399432505905,0.05893868693397464,0.0,0.05259530739108441,1500000000.0,819200.0,0.15369720795717928,1,1,1
1,1,GA,32,5,0,0.11943379951239509,0.08697730462725844,0.0,0.03245649488513665,2000000000.0,1228800.0,0.14510388861713913,5,5,1
1,1,GA,33,0,0,0.11549328269847464,0.10765175011718864,0.0,0.007841532581286004,1000000000.0,819200.0,0.19572943672535376,1,0,1
1,1,GA,34,7,0,0.1158226789634561,0.11342412603993818,0.0,0.002398552923517927,1500000000.0,1638400.0,0.19541513368666424,3,7,1
1,1,GA,35,8,1,0.1151853700107916,0.10699081737813802,0.0,0.008194552632653576,1500000000.0,1228800.0,0.17965461104684305,1,-1,0
1,1,GA,36,5,0,0.11193975461047513,0.1087419655077625,0.0,0.0031977891027126365,2000000000.0,1638400.0,0.16715876339807034,5,5,1
1,1,GA,37,8,1,0.11835384514341825,0.04852729475838139,0.0,0.06982655038503685,1000000000.0,1638400.0,0.18450230915683466,5,-1,0
1,1,GA,38,0,0,0.11379260310894161,0.1016859209254177,0.0,0.012106682183523912,1500000000.0,1638400.0,0.19387518284798846,3,0,1
1,1,GA,39,5,0,0.11000712861473742,0.06345529028302517,0.0,0.04655183833171225,1000000000.0,1638400.0,0.10226177288870028,5,5,1
1,1,GA,40,5,0,0.10154167617001078,0.08944535716981866,0.0,0.012096319000192118,1000000000.0,1638400.0,0.11181052271508587,2,5,1
1,1,GA,41,8,1,0.10976898454171048,0.08090499874803303,0.0,0.028863985793677452,2000000000.0,819200.0,0.13602638846836432,2,-1,0
1,1,GA,42,0,0,0.1042566199068067,0.07552642419034536,0.0,0.028730195716461335,1000000000.0,819200.0,0.10935868530425998,2,0,1
1,1,GA,43,7,0,0.10265392595093575,0.09705642054539829,0.0,0.005597505405537467,1000000000.0,1228800.0,0.15995244730532773,2,7,1
1,1,GA,44,1,0,0.11012129845058746,0.07487372430960387,0.0,0.03524757414098359,1500000000.0,1228800.0,0.12603642223481087,1,1,1
1,1,GA,45,6,0,0.11570170585193917,0.0976991877516217,0.0,0.01800251810031747,1500000000.0,1638400.0,0.12643397291323255,3,6,1
1,1,GA,46,8,1,0.10590012885611039,0.07071460413922634,0.0,0.03518552471688405,1000000000.0,1638400.0,0.12883279886478657,4,-1,0
1,1,GA,47,8,1,0.11537543519818333,0.18568633346257826,0.07031089826439493,-0.07031089826439493,2000000000.0,1228800.0,0.10977156575843901,2,-1,0
1,1,GA,48,1,0,0.11051259046324509,0.10962343512854608,0.0,0.0008891553346990072,2000000000.0,1228800.0,0.1740944453238159,6,1,1
1,1,GA,49,6,0,0.10298096046741426,0.10028506320846095,0.0,0.002695897258953306,2000000000.0,1228800.0,0.16506724295996503,2,6,1
1,1,GA,50,1,0,0.11929935487959471,0.05841046972866145,0.0,0.06088888515093326,1000000000.0,1638400.0,0.16065080906412627,4,1,1
1,1,GA,51,6,0,0.10803272447777035,0.0924648532024738,0.0,0.015567871275296546,2000000000.0,819200.0,0.10340455822777755,6,6,1
1,1,GA,52,0,0,0.10590468511325392,0.07281142596335409,0.0,0.03309325914989983,1000000000.0,1228800.0,0.14294641446388776,1,0,1
1,1,GA,53,6,0,0.1169399674126746,0.07145867565587105,0.0,0.045481291756803544,1500000000.0,1638400.0,0.16852035898998427,2,6,1
1,1,GA,54,5,0,0.1024892066503096,0.09969552231477737,0.0,0.0027936843355322316,2000000000.0,1228800.0,0.11563466499035864,5,5,1
1,1,GA,55,8,1,0.11467180922147406,0.057598730355520135,0.0,0.057073078865953926,1000000000.0,1638400.0,0.1385657844657551,1,-1,0
1,1,GA,56,7,0,0.10375649485130937,0.07577306055837528,0.0,0.027983434292934095,2000000000.0,1638400.0,0.1019834145469937,7,7,1
1,1,GA,57,8,1,0.10784983552025165,0.109880145075778,0.002030309555526341,-0.002030309555526341,1000000000.0,1638400.0,0.10818579970772421,1,-1,0
1,1,GA,58,1,0,0.10463799756924277,0.06943884347191825,0.0,0.03519915409732452,1000000000.0,1228800.0,0.12164535799990539,0,1,1
1,1,GA,59,1,0,0.11682455985384774,0.08477469601295784,0.0,0.0320498638408899,2000000000.0,1638400.0,0.14146501611412488,2,1,1
1,1,GA,60,0,0,0.10780149103879724,0.10023148412805646,0.0,0.007570006910740779,1500000000.0,819200.0,0.146324003628738,2,0,1
1,1,GA,61,1,0,0.11949385625764578,0.08294645927175492,0.0,0.03654739698589085,1500000000.0,1228800.0,0.1884521531618113,5,1,1
1,1,GA,62,8,1,0.11250522968830214,0.040387668537068405,0.0,0.07211756115123373,1000000000.0,819200.0,0.13166584421740132,4,-1,0
1,1,GA,63,1,0,0.11387245669405831,0.05354940732217491,0.0,0.060323049371883396,1000000000.0,819200.0,0.10214638762771915,5,1,1
1,1,GA,64,1,0,0.11043050244264835,0.06709320587606996,0.0,0.04333729656657839,1500000000.0,1638400.0,0.18262233467711653,1,1,1
1,1,GA,65,5,0,0.10617936398151183,0.10218533642041484,0.0,0.0039940275610969855,1500000000.0,1638400.0,0.10618469353735728,5,5,1
1,1,GA,66,0,0,0.10791112842104858,0.08126730218825917,0.0,0.026643826232789408,1500000000.0,1638400.0,0.10929919926622284,0,0,1
