scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
1,1,GA,39.79797237482853,6.0473103470092315,6,6.0,0.08705672305510433,0.11457663502100746,0.23640114543832183,0.005875979470092313,5.3075,0.1522124,69,31,5,0.9120751363563869,0.7162092539217877,18,15,0,0,0,16,9,11
1,1,Greedy,2.479643541155383,9.024862629573187,5,5.0,0.07755069967789278,0.10784883747238624,0.21840114543832184,0.005554358295731885,8.2745,0.1949268,61,39,8,0.9024715918310915,0.7045627142687823,11,12,2,12,9,5,7,3
1,1,CEGA,39.419291333062574,9.068865902365763,4,4.0,0.07817020261629132,0.10905900699827122,0.23040114543832182,0.006127651023657636,8.297,0.1591008,67,33,8,0.8918676014602842,0.7310012993488543,8,11,10,12,9,5,3,9
1,1,Random,0.0010523749515414238,10.691672387403035,60,60.0,0.19717648845339103,0.5044214762587328,0.8572682817147151,0.022309891874030353,8.393,0.0676832,86,14,8,0.6170767430327826,0.5508088508174986,7,11,6,9,11,17,13,12
2,2,GA,39.01991100003943,6.038222128445602,7,7.0,0.08839923655033703,0.11920441329293105,0.21964384996906847,0.005754517284456021,5.3255,0.13727040000000001,73,27,5,0.8996567321410588,0.6910404460700179,0,0,0,13,17,9,18,16
2,2,Greedy,2.5852560000494123,8.01254660372722,6,6.0,0.08739544129809047,0.11518976247808434,0.19550748713226837,0.0054875140372722,7.2145,0.2492952,47,53,7,0.9034467661375019,0.606568821940885,15,4,2,6,4,4,12,0
2,2,CEGA,43.8069039999973,9.023506484232403,7,7.0,0.07949472056202914,0.11715199646452215,0.19931760533770812,0.005678900842324023,8.303,0.15261639999999999,69,31,8,0.8868733573799645,0.6469641395074567,10,4,3,15,13,1,13,10
2,2,Random,0.0009504589252173901,10.867663420037797,57,57.0,0.20722321030904253,0.489482558298725,0.736061245365255,0.02403299420037795,8.3975,0.066864,86,14,8,0.6355861803695686,0.5264188753497172,10,22,9,8,13,7,12,5
3,3,GA,36.1675878749229,3.9014341497636083,15,15.0,0.08743646101154216,0.13306648286021777,0.2182051473469683,0.004504469497636081,3.1875,0.2634872,44,56,3,0.9173001826437905,0.6752576837670676,0,0,17,12,15,0,0,0
3,3,Greedy,5.875823833048344,6.84347768963018,1,1.0,0.07026798190420364,0.10935298805153194,0.20220514734696832,0.004022160896301802,6.2385,0.20276160000000001,56,44,6,0.8815187397468544,0.6024259535815681,6,13,0,6,5,0,9,17
