scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
6,6,Random,0.0005561248399317265,14.605940836987694,59,59.0,0.18304066986005513,0.4856094042539079,0.6441671509993784,0.02135726436987694,12.4215,0.048714400000000005,90,10,8,0.6333389914599431,0.5497296341637001,10,10,9,13,11,11,10,16
7,7,GA,21.32391033321619,6.93586443307445,6,6.0,0.08540486319373854,0.1136866334908983,0.160210304505987,0.0046608043307444945,6.24,0.229784,51,49,4,0.9495247362549916,0.6997452551355402,0,0,0,11,0,11,9,20
7,7,Greedy,2.122124917106703,11.351927333935906,1,1.0,0.06778715737352567,0.10025493497576221,0.14821030450598702,0.003971189339359067,10.7805,0.17430840000000003,64,36,7,0.9232389142130206,0.6892902464144132,0,5,10,7,16,9,3,14
7,7,CEGA,27.03675370896235,13.040805943160153,2,2.0,0.07510162002281143,0.10892960908457756,0.16320465117265368,0.0057261154316015275,12.381,0.0871944,84,16,8,0.9161987807404853,0.7598483229693923,15,6,16,8,8,8,13,10
7,7,Random,0.003033209126442671,15.020695380982229,64,64.0,0.2187909083575138,0.5866912512773438,0.6986509681876656,0.025588001809822295,12.411,0.05089520000000001,90,10,8,0.6286834686225896,0.5711813690235449,15,5,13,8,12,11,18,8
8,8,GA,22.902287458069623,6.962700172208982,9,9.0,0.08252881399124469,0.1178520415248724,0.16491017472379688,0.005095545722089822,6.2355,0.21764560000000002,53,47,4,0.9284253356979181,0.6651994550291314,14,0,11,12,0,0,0,16
8,8,Greedy,1.8518204169813544,11.355943951182587,0,0.0,0.06313903402567511,0.10046739694722284,0.1159977480571302,0.0042678515118258755,10.776,0.1531588,68,32,7,0.9047775306205253,0.6910554317357427,8,12,11,10,0,10,6,11
8,8,CEGA,24.364359375089407,12.98169696940344,0,0.0,0.07174449590667908,0.10888600067322649,0.1159977480571302,0.005416229694034399,12.288,0.15207400000000001,68,32,8,0.9245331015380156,0.6840000764169306,2,14,11,13,2,9,6,11
8,8,Random,0.0005217080470174551,14.390643178048716,51,51.0,0.1659017504977158,0.3977454959913109,0.6388611007009932,0.019474063780487168,12.3615,0.0817368,82,18,8,0.6282501886601509,0.5466235140930044,9,9,10,6,10,14,10,14
9,9,GA,21.07478024996817,6.991499821811141,12,12.0,0.08765600837806732,0.13369221876830095,0.18771413707814943,0.0051292342181114125,6.252,0.2265764,54,46,4,0.9140879998314951,0.6291618332823633,0,0,12,10,0,12,0,20
9,9,Greedy,1.528764083981514,13.022941437100256,7,7.0,0.0761915303352578,0.11362610794571044,0.15271979041148276,0.005542870371002551,12.2895,0.17915440000000002,62,38,8,0.9059503323077734,0.6713739208726527,3,8,8,9,10,5,14,5
9,9,CEGA,23.614439624827355,13.036287709228166,8,8.0,0.07664197563558543,0.11215326770138911,0.15271979041148276,0.00567148909228166,12.279,0.1901388,61,39,8,0.9104605957326024,0.6740386238300684,3,11,6,9,8,5,11,8
9,9,Random,0.0005821671802550554,14.888779229706222,67,67.0,0.210224253788794,0.5607708673499996,0.9566219508781251,0.02415656429706221,12.459,0.014122800000000001,97,3,8,0.6000493349049099,0.5257781731903672,12,12,12,6,14,18,10,13
10,10,GA,22.860017249826342,6.986520958317363,15,15.0,0.08646119306270394,0.12351113609187833,0.22538378868104364,0.0052273695831736265,6.2415,0.222284,54,46,4,0.9216235160157673,0.695389142992258,0,0,10,13,14,17,0,0
10,10,Greedy,1.4530835410114378,12.972547049133604,5,5.0,0.07575974393032417,0.11211353048706663,0.1618046953477103,0.005168166491336045,12.2385,0.21723040000000002,53,47,8,0.9108870518766783,0.6787593029629081,11,2,2,8,6,7,10,7
10,10,CEGA,24.239891124889255,13.012667689705077,7,7.0,0.07380169239627393,0.11262010125003166,0.17465923865805075,0.005475444897050768,12.2835,0.1816232,61,39,8,0.9079006807784796,0.6718440668509239,8,6,2,12,12,10,8,3
10,10,Random,0.0005372080486267805,14.867850781144588,56,56.0,0.20472124247818424,0.5419786651648054,0.9040818859344145,0.024133751811445878,12.39,0.06447560000000001,86,14,8,0.5679842185265248,0.5071452030751654,8,11,11,12,14,14,7,9
11,11,GA,19.747198041994125,5.437335900773162,13,13.0,0.09098660569684025,0.1169921344942576,0.23071246186522557,0.004742327007731619,4.7265,0.2366032,51,49,3,0.9287744890580057,0.6301003155019793,0,19,17,15,0,0,0,0
11,11,Greedy,2.4300764999352396,11.417345531232998,2,2.0,0.0713479311990788,0.11164069747314444,0.1510847261025296,0.004595351312329964,10.8945,0.0633104,87,13,7,0.8992242721735818,0.6930538063361921,13,13,12,0,12,7,13,17
11,11,CEGA,24.152193707879633,12.911267556633423,1,1.0,0.06925135486647824,0.10563404135525836,0.12742371276919626,0.0044704395663342205,12.291,0.1732236,64,36,8,0.917022481501462,0.6867191278029473,12,12,11,1,11,4,4,9
11,11,Random,0.0005483340937644243,14.522557974541066,53,53.0,0.1799931826870076,0.43676621645014063,0.7799290075610169,0.020612051745410646,12.4065,0.0548528,89,11,8,0.61007094123977,0.515792498738317,6,10,10,9,13,15,15,11
12,12,GA,23.027717749821022,6.954358133942887,11,11.0,0.08354959008264379,0.11944750889630226,0.17281602181628275,0.004757705339428862,6.246,0.23258760000000006,53,47,4,0.9288884971142201,0.7149057949430416,0,11,0,16,0,10,16,0
12,12,Greedy,2.2066746251657605,11.352126547770574,1,1.0,0.06731928865852697,0.10223618078379329,0.13773598065079376,0.003959565477705746,10.788,0.16817000000000001,66,34,7,0.9077010942153213,0.7015717723158895,9,5,0,16,2,9,15,10
12,12,CEGA,26.053756167180836,12.99399745034766,1,1.0,0.0703034196103565,0.10981751116652061,0.13773598065079376,0.005216846503476594,12.3465,0.1258128,75,25,8,0.9077985758925882,0.7156393860936889,11,6,15,11,2,8,11,11
12,12,Random,0.0005326250102370977,14.982566385796034,57,57.0,0.20487327666745003,0.4869303916949457,0.7314387027300283,0.025164947857960328,12.393,0.07307160000000001,84,16,8,0.6077482766469556,0.5357908155859402,6,14,8,19,10,8,13,6
13,13,GA,21.05155862495303,6.939004785310536,11,11.0,0.08559580586086596,0.11795214078816661,0.18635555641917675,0.004585711853105365,6.2325,0.24793360000000003,49,51,4,0.9295727898275998,0.648985233804541,0,0,12,8,0,15,0,14
13,13,Greedy,0.866927791852504,11.487324776795749,6,6.0,0.07816662327687102,0.10763636237185313,0.16435555641917676,0.0050888677679575,10.758,0.22043800000000002,55,45,7,0.9165901585788389,0.6367320461344989,6,6,10,4,7,6,0,16
13,13,CEGA,25.45026758313179,12.943139228809345,2,2.0,0.0720623941996858,0.10719191782530584,0.15635555641917676,0.004760184288093456,12.3435,0.1236208,76,24,8,0.9170600446225876,0.6970959071137809,5,12,15,6,12,2,8,16
13,13,Random,0.0005568328779190779,14.805876885020654,59,59.0,0.20623408593998277,0.5503319512484293,0.8316032518633809,0.023388008850206532,12.4155,0.051576000000000004,90,10,8,0.5787436887395887,0.49391726473819114,11,12,12,9,13,8,19,6
14,14,GA,20.86420354200527,5.5033075752882965,17,17.0,0.09428237446779233,0.12682533377597896,0.20997546458622748,0.005311351752882969,4.7355,0.2366724,52,48,3,0.9295824580872469,0.6537355273676998,18,0,0,0,18,0,0,16
14,14,Greedy,2.5259855419863015,10.003786327400315,3,3.0,0.07952841669853114,0.10608425215922335,0.1711293348003341,0.005243907274003139,9.2565,0.22289560000000003,53,47,6,0.9378785938527673,0.6358920286451094,14,0,11,9,10,5,4,0
14,14,CEGA,24.245592000195757,13.084224524319989,5,5.0,0.07878090078481131,0.11187290768238034,0.1601179219497032,0.0061619292431998995,12.3075,0.1605316,67,33,8,0.9171485377788013,0.6833166550996396,14,7,10,3,12,9,11,1
14,14,Random,0.0005667498335242271,14.738041464156165,51,51.0,0.19221926145821364,0.5661615488455554,0.7125981250888225,0.022741038641561656,12.414,0.0499376,89,11,8,0.5856494360030782,0.49449655901778095,9,13,16,14,6,9,10,12
15,15,GA,22.17271929117851,6.933233789267087,7,7.0,0.08081191805267482,0.11184741178440827,0.2630992069899691,0.0046665738926708784,6.2475,0.2190764,54,46,4,0.8986282733186648,0.6135387356226009,12,0,15,0,0,13,0,14
